timestamp,event_id,user_id,event_type,publication_time_seconds,gossip_propagation_minutes,cache_ttl_seconds,status
2025-08-19T19:00:00Z,CRL-000024,usr-0069,CERT_REVOKE,57.9,3.58,281,SUCCESS
2025-09-17T12:00:00Z,CRL-000025,usr-0042,CRL_PUBLISH,61.1,4.25,281,DELAYED
2025-08-21T12:00:00Z,CRL-000026,usr-0150,CRL_PUBLISH,65.5,4.56,300,SUCCESS
2025-09-01T13:00:00Z,CRL-000027,usr-0106,GOSSIP_COMPLETE,55.8,4.14,294,SUCCESS
2025-08-13T12:00:00Z,CRL-000028,usr-0097,CACHE_INVALIDATE,55.0,4.09,297,SUCCESS
2025-09-01T19:00:00Z,CRL-000029,usr-0030,CACHE_INVALIDATE,62.5,4.08,295,SUCCESS
2025-09-18T18:00:00Z,CRL-000030,usr-0092,CACHE_INVALIDATE,56.9,4.33,299,DELAYED
2025-09-10T02:00:00Z,CRL-000031,usr-0017,CRL_PUBLISH,60.2,4.05,298,SUCCESS
2025-09-22T15:00:00Z,CRL-000032,usr-0008,CACHE_INVALIDATE,64.0,4.28,311,SUCCESS
2025-08-10T06:00:00Z,CRL-000033,usr-0174,CACHE_INVALIDATE,62.6,4.16,307,SUCCESS
2025-09-06T23:00:00Z,CRL-000034,usr-0171,CRL_PUBLISH,59.3,4.24,299,DELAYED
2025-08-31T17:00:00Z,CRL-000035,usr-0152,GOSSIP_COMPLETE,54.1,3.63,309,DELAYED
2025-08-30T10:00:00Z,CRL-000036,usr-0040,CACHE_INVALIDATE,64.7,4.76,304,SUCCESS
2025-08-21T08:00:00Z,CRL-000037,usr-0192,CERT_REVOKE,63.1,3.91,297,SUCCESS
2025-09-11T01:00:00Z,CRL-000038,usr-0014,CERT_REVOKE,71.1,4.12,294,SUCCESS
2025-08-05T23:00:00Z,CRL-000039,usr-0125,GOSSIP_COMPLETE,56.4,4.73,300,SUCCESS
2025-09-13T09:00:00Z,CRL-000040,usr-0065,GOSSIP_COMPLETE,63.9,4.26,312,DELAYED
2025-08-27T18:00:00Z,CRL-000041,usr-0050,CRL_PUBLISH,64.7,4.13,302,SUCCESS
2025-08-09T02:00:00Z,CRL-000042,usr-0160,CERT_REVOKE,53.5,4.15,289,SUCCESS
2025-08-07T14:00:00Z,CRL-000043,usr-0083,CACHE_INVALIDATE,61.8,4.58,298,SUCCESS
2025-09-11T21:00:00Z,CRL-000044,usr-0154,GOSSIP_COMPLETE,55.3,4.16,295,SUCCESS
2025-08-30T08:00:00Z,CRL-000045,usr-0028,GOSSIP_COMPLETE,55.1,4.22,293,SUCCESS
2025-08-19T01:00:00Z,CRL-000046,usr-0042,CACHE_INVALIDATE,51.9,4.74,303,SUCCESS
2025-09-12T06:00:00Z,CRL-000047,usr-0111,CRL_PUBLISH,54.5,4.09,300,SUCCESS
2025-09-13T16:00:00Z,CRL-000048,usr-0110,GOSSIP_COMPLETE,71.5,4.21,310,DELAYED
2025-08-10T12:00:00Z,CRL-000049,usr-0173,CACHE_INVALIDATE,60.1,3.72,281,SUCCESS
2025-08-15T18:00:00Z,CRL-000050,usr-0189,GOSSIP_COMPLETE,61.7,5.0,309,DELAYED
2025-08-29T10:00:00Z,CRL-000051,usr-0187,CERT_REVOKE,60.5,5.54,297,SUCCESS
2025-09-24T20:00:00Z,CRL-000052,usr-0185,CACHE_INVALIDATE,62.4,4.17,288,SUCCESS
2025-08-15T16:00:00Z,CRL-000053,usr-0089,CACHE_INVALIDATE,54.8,3.74,301,SUCCESS
2025-09-27T08:00:00Z,CRL-000054,usr-0148,CACHE_INVALIDATE,54.4,4.56,293,SUCCESS
2025-08-18T21:00:00Z,CRL-000055,usr-0016,CACHE_INVALIDATE,55.4,4.44,294,SUCCESS
2025-08-12T07:00:00Z,CRL-000056,usr-0053,CERT_REVOKE,61.7,3.95,315,SUCCESS
2025-08-01T01:00:00Z,CRL-000057,usr-0076,CERT_REVOKE,53.7,4.47,296,SUCCESS
2025-09-21T16:00:00Z,CRL-000058,usr-0049,CRL_PUBLISH,66.7,3.87,310,SUCCESS
2025-08-26T18:00:00Z,CRL-000059,usr-0095,GOSSIP_COMPLETE,64.3,3.77,287,SUCCESS
2025-09-10T15:00:00Z,CRL-000060,usr-0116,CACHE_INVALIDATE,63.1,3.85,282,DELAYED
2025-09-17T10:00:00Z,CRL-000061,usr-0096,CRL_PUBLISH,49.1,4.19,311,DELAYED
2025-08-16T03:00:00Z,CRL-000062,usr-0102,GOSSIP_COMPLETE,60.3,4.11,306,SUCCESS
2025-08-05T15:00:00Z,CRL-000063,usr-0083,GOSSIP_COMPLETE,49.3,3.92,308,SUCCESS
2025-09-22T06:00:00Z,CRL-000064,usr-0087,GOSSIP_COMPLETE,59.4,4.59,315,DELAYED
2025-08-31T00:00:00Z,CRL-000065,usr-0131,CACHE_INVALIDATE,50.8,3.25,313,SUCCESS
2025-09-17T01:00:00Z,CRL-000066,usr-0072,CERT_REVOKE,63.5,4.72,295,SUCCESS
2025-09-11T04:00:00Z,CRL-000067,usr-0053,CACHE_INVALIDATE,56.1,3.88,301,DELAYED
2025-08-20T00:00:00Z,CRL-000068,usr-0059,CACHE_INVALIDATE,54.4,4.24,294,DELAYED
2025-09-19T07:00:00Z,CRL-000069,usr-0142,CERT_REVOKE,56.0,4.5,306,SUCCESS
2025-09-09T01:00:00Z,CRL-000070,usr-0025,CRL_PUBLISH,61.2,4.2,330,SUCCESS
2025-09-18T04:00:00Z,CRL-000071,usr-0067,CRL_PUBLISH,62.7,4.23,292,DELAYED
2025-09-17T03:00:00Z,CRL-000072,usr-0186,CACHE_INVALIDATE,53.6,4.63,280,SUCCESS
2025-09-26T21:00:00Z,CRL-000073,usr-0022,CACHE_INVALIDATE,59.9,3.83,315,DELAYED
2025-08-18T13:00:00Z,CRL-000074,usr-0074,CERT_REVOKE,61.9,4.8,292,SUCCESS
2025-09-22T21:00:00Z,CRL-000075,usr-0035,GOSSIP_COMPLETE,58.8,4.24,302,DELAYED
2025-09-29T20:00:00Z,CRL-000076,usr-0119,CRL_PUBLISH,55.5,4.32,297,DELAYED
2025-09-22T19:00:00Z,CRL-000077,usr-0164,CERT_REVOKE,62.3,3.18,301,DELAYED
2025-08-31T02:00:00Z,CRL-000078,usr-0078,GOSSIP_COMPLETE,61.1,4.14,304,SUCCESS
2025-09-13T17:00:00Z,CRL-000079,usr-0104,CACHE_INVALIDATE,51.1,2.9,300,SUCCESS
2025-08-06T04:00:00Z,CRL-000080,usr-0059,CACHE_INVALIDATE,59.9,4.49,310,SUCCESS
2025-08-28T16:00:00Z,CRL-000081,usr-0071,GOSSIP_COMPLETE,61.5,4.14,307,DELAYED
2025-08-18T12:00:00Z,CRL-000082,usr-0001,CRL_PUBLISH,67.6,4.28,278,SUCCESS
2025-08-16T07:00:00Z,CRL-000083,usr-0044,CERT_REVOKE,61.7,4.25,304,SUCCESS
2025-09-12T05:00:00Z,CRL-000084,usr-0149,GOSSIP_COMPLETE,61.7,4.88,304,SUCCESS
2025-09-02T08:00:00Z,CRL-000085,usr-0017,CRL_PUBLISH,60.3,4.39,303,SUCCESS
2025-09-09T08:00:00Z,CRL-000086,usr-0126,GOSSIP_COMPLETE,65.7,4.71,297,DELAYED
2025-08-04T21:00:00Z,CRL-000087,usr-0075,CERT_REVOKE,65.3,4.87,304,SUCCESS
2025-08-23T16:00:00Z,CRL-000088,usr-0110,GOSSIP_COMPLETE,47.6,4.31,293,SUCCESS
2025-09-15T07:00:00Z,CRL-000089,usr-0074,CACHE_INVALIDATE,70.7,3.84,296,SUCCESS
2025-08-21T20:00:00Z,CRL-000090,usr-0061,CRL_PUBLISH,58.1,4.1,306,DELAYED
2025-08-01T20:00:00Z,CRL-000091,usr-0023,GOSSIP_COMPLETE,58.0,4.18,294,SUCCESS
2025-09-26T05:00:00Z,CRL-000092,usr-0125,GOSSIP_COMPLETE,49.8,4.35,315,SUCCESS
2025-09-01T19:00:00Z,CRL-000093,usr-0008,CERT_REVOKE,57.5,4.81,305,DELAYED
2025-09-26T22:00:00Z,CRL-000094,usr-0158,GOSSIP_COMPLETE,50.4,4.02,319,SUCCESS
2025-09-02T06:00:00Z,CRL-000095,usr-0059,CACHE_INVALIDATE,71.6,4.66,297,DELAYED
2025-08-01T11:00:00Z,CRL-000096,usr-0056,CRL_PUBLISH,67.4,4.7,291,DELAYED
2025-08-04T06:00:00Z,CRL-000097,usr-0087,CRL_PUBLISH,65.7,4.69,288,DELAYED
2025-08-02T00:00:00Z,CRL-000098,usr-0171,CRL_PUBLISH,69.6,3.98,299,DELAYED
2025-09-06T20:00:00Z,CRL-000099,usr-0174,CRL_PUBLISH,60.9,3.61,305,SUCCESS
2025-09-23T20:00:00Z,CRL-000100,usr-0111,CRL_PUBLISH,61.4,3.44,287,SUCCESS
2025-08-02T23:00:00Z,CRL-000101,usr-0067,GOSSIP_COMPLETE,55.9,4.04,310,DELAYED
2025-09-09T06:00:00Z,CRL-000102,usr-0136,CERT_REVOKE,61.4,4.22,300,DELAYED
2025-08-30T01:00:00Z,CRL-000103,usr-0174,CRL_PUBLISH,62.7,4.14,287,SUCCESS
2025-08-03T01:00:00Z,CRL-000104,usr-0084,CRL_PUBLISH,51.2,4.22,317,DELAYED
2025-09-01T03:00:00Z,CRL-000105,usr-0090,CACHE_INVALIDATE,60.0,3.9,295,DELAYED
2025-08-07T15:00:00Z,CRL-000106,usr-0172,CRL_PUBLISH,62.6,5.22,291,SUCCESS
2025-09-30T03:00:00Z,CRL-000107,usr-0178,CACHE_INVALIDATE,54.2,3.97,301,DELAYED
2025-09-13T21:00:00Z,CRL-000108,usr-0099,CACHE_INVALIDATE,62.7,3.74,306,DELAYED
2025-08-04T17:00:00Z,CRL-000109,usr-0134,CACHE_INVALIDATE,66.5,4.51,305,DELAYED
2025-09-02T05:00:00Z,CRL-000110,usr-0089,GOSSIP_COMPLETE,62.3,4.02,311,SUCCESS
2025-08-17T03:00:00Z,CRL-000111,usr-0110,CRL_PUBLISH,65.1,4.67,296,SUCCESS
2025-08-18T13:00:00Z,CRL-000112,usr-0125,CACHE_INVALIDATE,65.2,4.58,312,DELAYED
2025-08-21T11:00:00Z,CRL-000113,usr-0185,CERT_REVOKE,59.0,4.13,292,SUCCESS
2025-08-02T11:00:00Z,CRL-000114,usr-0073,CRL_PUBLISH,59.2,4.24,307,DELAYED
2025-09-16T21:00:00Z,CRL-000115,usr-0017,CRL_PUBLISH,56.3,4.72,296,SUCCESS
2025-09-22T06:00:00Z,CRL-000116,usr-0179,GOSSIP_COMPLETE,66.5,4.69,291,SUCCESS
2025-08-09T05:00:00Z,CRL-000117,usr-0149,CACHE_INVALIDATE,64.3,4.9,304,DELAYED
2025-08-28T06:00:00Z,CRL-000118,usr-0053,CERT_REVOKE,57.9,3.78,297,SUCCESS
2025-09-26T08:00:00Z,CRL-000119,usr-0089,CACHE_INVALIDATE,60.0,4.08,299,SUCCESS
2025-09-28T20:00:00Z,CRL-000120,usr-0059,CERT_REVOKE,64.2,3.99,309,DELAYED
2025-09-13T14:00:00Z,CRL-000121,usr-0120,CRL_PUBLISH,63.4,4.57,286,SUCCESS
2025-09-09T20:00:00Z,CRL-000122,usr-0125,CERT_REVOKE,63.8,3.55,291,SUCCESS
2025-08-05T21:00:00Z,CRL-000123,usr-0096,GOSSIP_COMPLETE,65.5,4.2,315,SUCCESS
2025-09-26T05:00:00Z,CRL-000124,usr-0099,CERT_REVOKE,60.5,4.55,311,SUCCESS
2025-09-01T04:00:00Z,CRL-000125,usr-0115,CACHE_INVALIDATE,59.0,4.19,288,SUCCESS
2025-08-04T23:00:00Z,CRL-000126,usr-0157,CERT_REVOKE,64.8,4.05,290,SUCCESS
2025-09-24T11:00:00Z,CRL-000127,usr-0093,CERT_REVOKE,55.8,3.97,299,SUCCESS
2025-08-19T15:00:00Z,CRL-000128,usr-0079,CACHE_INVALIDATE,60.7,4.64,306,DELAYED
2025-08-29T06:00:00Z,CRL-000129,usr-0125,GOSSIP_COMPLETE,64.5,3.49,313,SUCCESS
2025-08-26T07:00:00Z,CRL-000130,usr-0062,GOSSIP_COMPLETE,57.4,4.56,307,SUCCESS
2025-09-24T20:00:00Z,CRL-000131,usr-0112,CERT_REVOKE,66.4,4.06,322,DELAYED
2025-09-25T13:00:00Z,CRL-000132,usr-0124,CERT_REVOKE,57.7,4.19,310,DELAYED
2025-08-04T12:00:00Z,CRL-000133,usr-0064,GOSSIP_COMPLETE,69.1,4.0,299,SUCCESS
2025-08-24T17:00:00Z,CRL-000134,usr-0157,CERT_REVOKE,64.8,4.19,298,DELAYED
2025-09-15T17:00:00Z,CRL-000135,usr-0120,CERT_REVOKE,60.3,4.6,294,SUCCESS
2025-09-11T12:00:00Z,CRL-000136,usr-0128,GOSSIP_COMPLETE,63.9,4.0,285,SUCCESS
2025-09-05T15:00:00Z,CRL-000137,usr-0181,CACHE_INVALIDATE,59.5,4.1,300,SUCCESS
2025-08-24T21:00:00Z,CRL-000138,usr-0044,CRL_PUBLISH,65.1,3.75,304,DELAYED
2025-09-16T23:00:00Z,CRL-000139,usr-0006,CERT_REVOKE,58.1,3.87,310,SUCCESS
2025-08-01T08:00:00Z,CRL-000140,usr-0080,CERT_REVOKE,48.2,4.42,312,DELAYED
2025-09-22T00:00:00Z,CRL-000141,usr-0147,CRL_PUBLISH,59.4,3.9,319,SUCCESS
2025-08-15T08:00:00Z,CRL-000142,usr-0078,CERT_REVOKE,61.4,3.26,301,SUCCESS
2025-09-21T11:00:00Z,CRL-000143,usr-0189,CERT_REVOKE,66.0,4.2,308,SUCCESS
2025-09-11T13:00:00Z,CRL-000144,usr-0036,CERT_REVOKE,64.5,4.32,295,SUCCESS
2025-09-26T14:00:00Z,CRL-000145,usr-0017,CACHE_INVALIDATE,61.1,4.29,303,DELAYED
2025-09-11T23:00:00Z,CRL-000146,usr-0067,CERT_REVOKE,61.2,3.99,309,DELAYED
2025-08-11T06:00:00Z,CRL-000147,usr-0076,CERT_REVOKE,60.3,4.22,292,SUCCESS
2025-08-10T05:00:00Z,CRL-000148,usr-0195,GOSSIP_COMPLETE,55.4,3.97,297,SUCCESS
2025-08-06T03:00:00Z,CRL-000149,usr-0165,GOSSIP_COMPLETE,65.6,4.12,307,SUCCESS
2025-08-22T18:00:00Z,CRL-000150,usr-0055,CRL_PUBLISH,61.8,4.39,313,SUCCESS
2025-08-06T17:00:00Z,CRL-000151,usr-0172,CRL_PUBLISH,62.6,3.94,308,SUCCESS
2025-08-11T02:00:00Z,CRL-000152,usr-0113,CACHE_INVALIDATE,61.9,4.87,312,SUCCESS
2025-09-14T01:00:00Z,CRL-000153,usr-0169,CRL_PUBLISH,53.5,4.44,302,DELAYED
2025-09-14T03:00:00Z,CRL-000154,usr-0190,CRL_PUBLISH,55.7,4.3,292,SUCCESS
2025-09-17T07:00:00Z,CRL-000155,usr-0032,CERT_REVOKE,60.2,3.94,297,SUCCESS
2025-08-31T18:00:00Z,CRL-000156,usr-0051,CERT_REVOKE,50.0,3.65,309,SUCCESS
2025-09-06T01:00:00Z,CRL-000157,usr-0112,CACHE_INVALIDATE,55.7,4.45,306,SUCCESS
2025-09-23T03:00:00Z,CRL-000158,usr-0020,GOSSIP_COMPLETE,62.8,4.28,315,SUCCESS
2025-09-28T02:00:00Z,CRL-000159,usr-0125,CERT_REVOKE,60.1,3.44,298,SUCCESS
2025-09-16T09:00:00Z,CRL-000160,usr-0067,CERT_REVOKE,62.5,4.03,282,SUCCESS
2025-08-30T15:00:00Z,CRL-000161,usr-0064,CERT_REVOKE,63.4,3.96,309,SUCCESS
2025-08-30T18:00:00Z,CRL-000162,usr-0036,GOSSIP_COMPLETE,54.6,4.61,326,DELAYED
2025-09-30T21:00:00Z,CRL-000163,usr-0027,CACHE_INVALIDATE,55.7,4.36,289,SUCCESS
2025-08-06T14:00:00Z,CRL-000164,usr-0018,CACHE_INVALIDATE,64.8,3.96,306,SUCCESS
2025-09-14T19:00:00Z,CRL-000165,usr-0149,CERT_REVOKE,58.8,4.05,302,DELAYED
2025-09-28T20:00:00Z,CRL-000166,usr-0159,CERT_REVOKE,49.1,3.47,311,SUCCESS
2025-08-24T12:00:00Z,CRL-000167,usr-0009,GOSSIP_COMPLETE,63.7,4.36,300,SUCCESS
2025-09-19T12:00:00Z,CRL-000168,usr-0140,CRL_PUBLISH,59.7,3.74,318,DELAYED
2025-08-05T02:00:00Z,CRL-000169,usr-0033,CACHE_INVALIDATE,60.4,4.29,300,DELAYED
2025-09-07T20:00:00Z,CRL-000170,usr-0123,CACHE_INVALIDATE,64.7,4.03,291,SUCCESS
2025-08-09T14:00:00Z,CRL-000171,usr-0153,CRL_PUBLISH,59.7,3.94,311,SUCCESS
2025-08-18T15:00:00Z,CRL-000172,usr-0177,CERT_REVOKE,61.6,3.77,288,SUCCESS
2025-09-22T03:00:00Z,CRL-000173,usr-0163,CERT_REVOKE,70.0,4.1,311,DELAYED
2025-09-26T14:00:00Z,CRL-000174,usr-0130,CRL_PUBLISH,51.8,4.1,296,SUCCESS
2025-08-08T15:00:00Z,CRL-000175,usr-0131,CRL_PUBLISH,58.4,4.32,306,SUCCESS
2025-08-26T17:00:00Z,CRL-000176,usr-0025,GOSSIP_COMPLETE,63.9,4.3,306,DELAYED
2025-08-11T00:00:00Z,CRL-000177,usr-0108,CERT_REVOKE,62.5,4.34,314,DELAYED
2025-08-06T00:00:00Z,CRL-000178,usr-0189,GOSSIP_COMPLETE,61.3,3.99,305,SUCCESS
2025-08-27T00:00:00Z,CRL-000179,usr-0045,GOSSIP_COMPLETE,60.9,4.37,292,SUCCESS
2025-09-27T20:00:00Z,CRL-000180,usr-0197,CERT_REVOKE,64.0,4.28,301,SUCCESS
2025-08-03T19:00:00Z,CRL-000181,usr-0122,CERT_REVOKE,57.5,4.12,292,DELAYED
2025-08-24T20:00:00Z,CRL-000182,usr-0138,CACHE_INVALIDATE,58.8,4.74,293,SUCCESS
2025-09-20T11:00:00Z,CRL-000183,usr-0001,GOSSIP_COMPLETE,64.7,4.31,309,SUCCESS
2025-09-10T01:00:00Z,CRL-000184,usr-0078,CRL_PUBLISH,58.6,4.17,311,SUCCESS
2025-09-03T06:00:00Z,CRL-000185,usr-0095,CACHE_INVALIDATE,55.5,3.92,301,SUCCESS
2025-09-29T11:00:00Z,CRL-000186,usr-0047,CERT_REVOKE,61.7,3.98,299,SUCCESS
2025-08-31T17:00:00Z,CRL-000187,usr-0188,CRL_PUBLISH,62.4,4.12,292,SUCCESS
2025-08-05T21:00:00Z,CRL-000188,usr-0016,CACHE_INVALIDATE,66.5,4.36,297,SUCCESS
2025-08-06T03:00:00Z,CRL-000189,usr-0048,CRL_PUBLISH,62.4,4.23,308,SUCCESS
2025-09-22T05:00:00Z,CRL-000190,usr-0117,CACHE_INVALIDATE,66.7,4.38,292,SUCCESS
2025-09-14T13:00:00Z,CRL-000191,usr-0086,CRL_PUBLISH,53.3,4.88,304,SUCCESS
2025-09-26T02:00:00Z,CRL-000192,usr-0126,CERT_REVOKE,58.6,3.56,315,SUCCESS
2025-08-28T16:00:00Z,CRL-000193,usr-0114,CERT_REVOKE,66.4,4.85,307,SUCCESS
2025-09-20T21:00:00Z,CRL-000194,usr-0085,GOSSIP_COMPLETE,61.3,4.42,308,SUCCESS
2025-09-04T00:00:00Z,CRL-000195,usr-0117,CRL_PUBLISH,63.6,4.44,310,DELAYED
2025-09-18T18:00:00Z,CRL-000196,usr-0071,GOSSIP_COMPLETE,56.9,3.92,285,SUCCESS
2025-08-05T16:00:00Z,CRL-000197,usr-0088,GOSSIP_COMPLETE,62.2,4.15,284,SUCCESS
2025-09-19T16:00:00Z,CRL-000198,usr-0049,GOSSIP_COMPLETE,57.8,4.3,289,SUCCESS
2025-08-11T14:00:00Z,CRL-000199,usr-0056,CERT_REVOKE,59.9,4.15,294,SUCCESS
2025-09-28T15:00:00Z,CRL-000200,usr-0180,CACHE_INVALIDATE,62.5,4.09,292,SUCCESS
