sample_id,mode,payload_bytes,energy_mj,airtime_ms
ES-0000076,SingleChannel,19,23.242,35.34
ES-0000077,SingleChannel,19,23.673,36.1
ES-0000078,SingleChannel,22,24.835,36.09
ES-0000079,SingleChannel,21,24.683,34.99
ES-0000080,SingleChannel,20,23.551,37.24
ES-0000081,SingleChannel,22,23.856,36.53
ES-0000082,SingleChannel,19,24.967,35.09
ES-0000083,SingleChannel,18,23.019,35.17
ES-0000084,SingleChannel,19,24.432,35.46
ES-0000085,SingleChannel,23,23.732,34.0
ES-0000086,SingleChannel,18,24.629,35.64
ES-0000087,SingleChannel,21,25.077,36.68
ES-0000088,SingleChannel,21,23.965,35.18
ES-0000089,SingleChannel,19,23.981,34.96
ES-0000090,SingleChannel,23,24.264,36.96
ES-0000091,SingleChannel,21,24.406,34.04
ES-0000092,SingleChannel,22,24.57,36.9
ES-0000093,SingleChannel,20,23.247,36.39
ES-0000094,SingleChannel,21,24.693,36.14
ES-0000095,SingleChannel,18,24.963,35.18
ES-0000096,SingleChannel,21,23.904,38.06
ES-0000097,SingleChannel,20,24.394,37.14
ES-0000098,SingleChannel,23,23.595,35.17
ES-0000099,SingleChannel,19,23.546,36.14
ES-0000100,SingleChannel,20,24.128,35.93
ES-0000101,SingleChannel,18,24.222,37.94
ES-0000102,SingleChannel,23,23.558,36.94
ES-0000103,SingleChannel,19,25.136,34.12
ES-0000104,SingleChannel,18,23.944,37.88
ES-0000105,SingleChannel,23,25.039,35.92
ES-0000106,SingleChannel,18,23.61,35.92
ES-0000107,SingleChannel,19,23.497,35.01
ES-0000108,SingleChannel,19,24.322,36.17
ES-0000109,SingleChannel,20,23.086,35.43
ES-0000110,SingleChannel,20,23.158,35.58
ES-0000111,SingleChannel,21,23.634,36.11
ES-0000112,SingleChannel,23,24.012,36.43
ES-0000113,SingleChannel,19,24.208,36.07
ES-0000114,SingleChannel,19,24.239,36.53
ES-0000115,SingleChannel,19,24.252,35.82
ES-0000116,SingleChannel,23,23.035,34.86
ES-0000117,SingleChannel,22,25.306,33.64
ES-0000118,SingleChannel,19,24.468,37.26
ES-0000119,SingleChannel,23,24.409,35.25
ES-0000120,SingleChannel,20,23.412,35.67
ES-0000121,SingleChannel,18,22.967,35.6
ES-0000122,SingleChannel,22,25.162,35.02
ES-0000123,SingleChannel,20,25.796,35.99
ES-0000124,SingleChannel,23,25.433,35.89
ES-0000125,SingleChannel,23,23.088,35.75
ES-0000126,SingleChannel,20,25.261,35.51
ES-0000127,SingleChannel,19,22.601,35.36
ES-0000128,SingleChannel,20,24.423,36.24
ES-0000129,SingleChannel,23,24.199,34.36
ES-0000130,SingleChannel,22,24.469,35.46
ES-0000131,SingleChannel,19,24.67,37.08
ES-0000132,SingleChannel,18,23.159,37.75
ES-0000133,SingleChannel,20,22.612,35.92
ES-0000134,SingleChannel,22,24.86,36.32
ES-0000135,SingleChannel,18,23.305,37.94
ES-0000136,SingleChannel,18,24.32,36.63
ES-0000137,SingleChannel,23,24.836,36.71
ES-0000138,SingleChannel,18,23.699,35.44
ES-0000139,SingleChannel,23,24.199,34.23
ES-0000140,SingleChannel,18,24.307,38.05
ES-0000141,SingleChannel,21,23.744,37.06
ES-0000142,SingleChannel,21,23.33,37.78
ES-0000143,SingleChannel,19,23.671,34.82
ES-0000144,SingleChannel,23,24.133,35.35
ES-0000145,SingleChannel,18,22.684,34.44
ES-0000146,SingleChannel,18,24.272,36.61
ES-0000147,SingleChannel,20,24.031,36.07
ES-0000148,SingleChannel,20,22.582,35.02
ES-0000149,SingleChannel,20,23.802,37.07
ES-0000150,SingleChannel,23,23.275,35.77
ES-0000151,SingleChannel,18,23.897,36.35
ES-0000152,SingleChannel,20,24.898,37.12
ES-0000153,SingleChannel,22,23.816,34.18
ES-0000154,SingleChannel,23,24.53,37.92
ES-0000155,SingleChannel,22,24.706,34.55
ES-0000156,SingleChannel,22,24.93,34.65
ES-0000157,SingleChannel,19,22.61,34.77
ES-0000158,SingleChannel,22,23.182,37.57
ES-0000159,SingleChannel,19,24.088,35.06
ES-0000160,SingleChannel,18,22.45,36.19
ES-0000161,SingleChannel,23,24.531,34.26
ES-0000162,SingleChannel,18,23.796,36.67
ES-0000163,SingleChannel,18,24.42,35.83
ES-0000164,SingleChannel,19,24.406,37.09
ES-0000165,SingleChannel,19,24.271,33.29
ES-0000166,SingleChannel,21,24.826,35.52
ES-0000167,SingleChannel,22,23.488,36.46
ES-0000168,SingleChannel,19,23.342,34.48
ES-0000169,SingleChannel,21,24.458,37.72
ES-0000170,SingleChannel,18,22.781,35.05
ES-0000171,SingleChannel,18,23.505,35.88
ES-0000172,SingleChannel,21,24.67,36.76
ES-0000173,SingleChannel,20,24.108,35.64
ES-0000174,SingleChannel,19,23.931,35.34
ES-0000175,SingleChannel,21,23.68,37.94
ES-0000176,SingleChannel,19,23.603,34.88
ES-0000177,SingleChannel,20,24.509,35.47
ES-0000178,SingleChannel,23,24.999,35.44
ES-0000179,SingleChannel,23,22.851,36.6
ES-0000180,SingleChannel,21,24.485,34.62
ES-0000181,SingleChannel,20,24.592,37.28
ES-0000182,SingleChannel,20,24.978,35.94
ES-0000183,SingleChannel,21,24.702,35.27
ES-0000184,SingleChannel,23,25.676,33.22
ES-0000185,SingleChannel,22,23.661,36.53
ES-0000186,SingleChannel,19,24.506,34.59
ES-0000187,SingleChannel,20,25.103,36.89
ES-0000188,SingleChannel,20,24.49,36.61
ES-0000189,SingleChannel,22,23.791,34.97
ES-0000190,SingleChannel,23,23.663,39.17
ES-0000191,SingleChannel,19,24.788,38.71
ES-0000192,SingleChannel,23,23.573,37.35
ES-0000193,SingleChannel,22,23.597,36.19
ES-0000194,SingleChannel,23,24.024,36.99
ES-0000195,SingleChannel,21,24.066,35.79
ES-0000196,SingleChannel,19,23.418,37.83
ES-0000197,SingleChannel,21,24.371,36.68
ES-0000198,SingleChannel,21,24.661,35.75
ES-0000199,SingleChannel,18,24.877,34.95
ES-0000200,SingleChannel,18,24.088,34.23
ES-0000201,SingleChannel,21,23.447,35.14
ES-0000202,SingleChannel,20,23.44,35.82
ES-0000203,SingleChannel,22,25.044,36.64
ES-0000204,SingleChannel,21,24.715,35.58
ES-0000205,SingleChannel,18,24.711,36.99
ES-0000206,SingleChannel,20,23.674,35.68
ES-0000207,SingleChannel,20,24.192,35.57
ES-0000208,SingleChannel,19,24.903,36.73
ES-0000209,SingleChannel,21,24.349,34.59
ES-0000210,SingleChannel,22,24.858,36.49
ES-0000211,SingleChannel,21,24.173,38.11
ES-0000212,SingleChannel,23,24.111,35.93
ES-0000213,SingleChannel,18,24.569,37.08
ES-0000214,SingleChannel,20,23.862,36.67
ES-0000215,SingleChannel,18,24.492,36.75
ES-0000216,SingleChannel,22,24.671,36.83
ES-0000217,SingleChannel,19,24.308,38.54
ES-0000218,SingleChannel,18,25.998,36.21
ES-0000219,SingleChannel,23,23.572,34.62
ES-0000220,SingleChannel,19,23.295,36.65
ES-0000221,SingleChannel,20,26.841,36.78
ES-0000222,SingleChannel,19,24.898,34.25
ES-0000223,SingleChannel,22,25.577,35.83
ES-0000224,SingleChannel,20,23.278,38.09
ES-0000225,SingleChannel,18,24.752,35.42
ES-0000226,SingleChannel,22,25.006,35.72
ES-0000227,SingleChannel,19,23.108,36.67
ES-0000228,SingleChannel,19,24.523,38.59
ES-0000229,SingleChannel,21,23.993,36.21
ES-0000230,SingleChannel,21,24.158,36.14
ES-0000231,SingleChannel,22,24.814,36.12
ES-0000232,SingleChannel,23,24.304,34.6
ES-0000233,SingleChannel,22,25.821,36.83
ES-0000234,SingleChannel,23,24.084,36.66
ES-0000235,SingleChannel,23,24.277,38.69
ES-0000236,SingleChannel,23,26.021,35.52
ES-0000237,SingleChannel,18,24.727,34.47
ES-0000238,SingleChannel,23,24.868,35.63
ES-0000239,SingleChannel,23,24.547,37.04
ES-0000240,SingleChannel,18,23.733,37.85
ES-0000241,SingleChannel,21,24.468,36.89
ES-0000242,SingleChannel,22,23.453,38.02
ES-0000243,SingleChannel,21,24.358,35.22
ES-0000244,SingleChannel,18,23.663,37.54
ES-0000245,SingleChannel,22,23.71,36.7
ES-0000246,SingleChannel,23,24.004,37.08
ES-0000247,SingleChannel,18,25.085,36.24
ES-0000248,SingleChannel,21,23.882,37.65
ES-0000249,SingleChannel,20,24.861,34.02
ES-0000250,SingleChannel,23,24.248,36.74
ES-0000251,SingleChannel,18,25.306,38.03
ES-0000252,SingleChannel,20,24.803,35.87
ES-0000253,SingleChannel,19,23.948,35.67
ES-0000254,SingleChannel,20,25.758,35.93
ES-0000255,SingleChannel,23,23.638,35.94
ES-0000256,SingleChannel,19,25.215,36.73
ES-0000257,SingleChannel,23,24.059,35.72
ES-0000258,SingleChannel,21,24.31,35.19
ES-0000259,SingleChannel,18,24.868,37.26
ES-0000260,SingleChannel,21,23.929,35.51
ES-0000261,SingleChannel,20,24.016,37.52
ES-0000262,SingleChannel,19,24.294,37.46
ES-0000263,SingleChannel,22,22.38,36.51
ES-0000264,SingleChannel,22,25.213,34.73
ES-0000265,SingleChannel,22,23.461,38.09
ES-0000266,SingleChannel,21,24.039,35.88
ES-0000267,SingleChannel,21,23.092,36.02
ES-0000268,SingleChannel,18,22.988,38.06
ES-0000269,SingleChannel,19,24.64,35.59
ES-0000270,SingleChannel,23,23.91,35.69
ES-0000271,SingleChannel,19,20.82,36.34
ES-0000272,SingleChannel,22,24.733,39.62
ES-0000273,SingleChannel,18,23.728,37.91
ES-0000274,SingleChannel,20,22.854,35.06
ES-0000275,SingleChannel,20,24.089,35.1
ES-0000276,SingleChannel,23,23.805,32.99
ES-0000277,SingleChannel,20,24.841,37.51
ES-0000278,SingleChannel,23,25.357,35.76
ES-0000279,SingleChannel,21,24.315,36.39
ES-0000280,SingleChannel,21,24.608,37.2
ES-0000281,SingleChannel,22,23.924,35.68
ES-0000282,SingleChannel,21,25.004,35.62
ES-0000283,SingleChannel,18,24.575,37.13
ES-0000284,SingleChannel,18,25.35,38.79
ES-0000285,SingleChannel,19,23.039,37.48
ES-0000286,SingleChannel,20,24.99,38.21
ES-0000287,SingleChannel,21,24.388,36.99
ES-0000288,SingleChannel,22,23.847,37.42
ES-0000289,SingleChannel,19,26.064,37.86
ES-0000290,SingleChannel,22,25.171,37.21
ES-0000291,SingleChannel,20,22.148,34.9
ES-0000292,SingleChannel,19,25.634,35.32
ES-0000293,SingleChannel,20,23.201,34.09
ES-0000294,SingleChannel,18,23.632,35.72
ES-0000295,SingleChannel,22,24.194,35.8
ES-0000296,SingleChannel,20,24.089,36.51
ES-0000297,SingleChannel,18,24.741,33.75
ES-0000298,SingleChannel,23,25.127,35.88
ES-0000299,SingleChannel,19,26.204,34.5
ES-0000300,SingleChannel,20,24.768,38.11
ES-0000301,SingleChannel,23,24.141,34.87
ES-0000302,SingleChannel,18,24.148,36.49
ES-0000303,SingleChannel,21,24.247,34.55
ES-0000304,SingleChannel,20,24.274,36.2
ES-0000305,SingleChannel,18,23.624,35.67
ES-0000306,SingleChannel,19,24.766,35.32
ES-0000307,SingleChannel,22,24.005,36.38
ES-0000308,SingleChannel,22,23.514,34.88
ES-0000309,SingleChannel,23,22.173,38.83
ES-0000310,SingleChannel,23,24.75,37.16
ES-0000311,SingleChannel,18,23.146,37.69
ES-0000312,SingleChannel,21,24.056,37.15
ES-0000313,SingleChannel,18,24.069,35.91
ES-0000314,SingleChannel,22,23.72,37.96
ES-0000315,SingleChannel,21,23.722,34.9
ES-0000316,SingleChannel,23,24.29,35.61
ES-0000317,SingleChannel,22,23.584,36.92
ES-0000318,SingleChannel,22,24.058,35.87
ES-0000319,SingleChannel,18,23.948,36.6
ES-0000320,SingleChannel,23,24.075,34.39
ES-0000321,SingleChannel,23,24.677,34.8
ES-0000322,SingleChannel,22,24.635,35.53
ES-0000323,SingleChannel,19,25.009,37.77
ES-0000324,SingleChannel,20,24.866,37.69
ES-0000325,SingleChannel,18,26.142,40.0
ES-0000326,SingleChannel,23,24.644,36.22
ES-0000327,SingleChannel,21,21.77,35.6
ES-0000328,SingleChannel,22,24.344,35.13
ES-0000329,SingleChannel,21,25.555,34.59
ES-0000330,SingleChannel,20,22.114,36.39
ES-0000331,SingleChannel,22,24.239,37.3
ES-0000332,SingleChannel,22,24.663,33.79
ES-0000333,SingleChannel,22,22.84,35.58
ES-0000334,SingleChannel,22,24.008,37.32
ES-0000335,SingleChannel,22,24.629,35.24
ES-0000336,SingleChannel,23,24.185,36.59
ES-0000337,SingleChannel,19,24.743,35.45
ES-0000338,SingleChannel,22,24.517,35.42
ES-0000339,SingleChannel,21,23.979,36.43
ES-0000340,SingleChannel,19,23.359,35.15
ES-0000341,SingleChannel,21,24.201,35.74
ES-0000342,SingleChannel,23,24.451,34.37
ES-0000343,SingleChannel,23,23.762,35.02
ES-0000344,SingleChannel,23,23.088,37.23
ES-0000345,SingleChannel,19,23.341,36.63
ES-0000346,SingleChannel,21,25.696,33.42
ES-0000347,SingleChannel,18,24.972,37.12
ES-0000348,SingleChannel,20,25.427,37.77
ES-0000349,SingleChannel,20,23.717,35.16
ES-0000350,SingleChannel,19,22.981,35.6
ES-0000351,SingleChannel,21,24.703,35.94
ES-0000352,SingleChannel,18,24.041,37.77
ES-0000353,SingleChannel,19,24.106,35.91
ES-0000354,SingleChannel,18,23.866,35.53
ES-0000355,SingleChannel,18,24.302,36.22
ES-0000356,SingleChannel,18,23.956,39.56
ES-0000357,SingleChannel,21,24.158,35.47
ES-0000358,SingleChannel,18,23.758,37.81
ES-0000359,SingleChannel,21,24.712,36.43
ES-0000360,SingleChannel,19,25.031,36.32
ES-0000361,SingleChannel,23,23.064,36.28
ES-0000362,SingleChannel,18,25.082,35.86
ES-0000363,SingleChannel,21,25.685,34.83
ES-0000364,SingleChannel,23,24.124,34.21
ES-0000365,SingleChannel,19,23.803,34.1
ES-0000366,SingleChannel,23,24.588,34.74
ES-0000367,SingleChannel,20,25.104,36.02
ES-0000368,SingleChannel,20,23.456,35.54
ES-0000369,SingleChannel,20,24.687,36.15
ES-0000370,SingleChannel,18,24.016,36.65
ES-0000371,SingleChannel,19,23.992,36.94
ES-0000372,SingleChannel,20,24.777,36.19
ES-0000373,SingleChannel,18,24.501,36.66
ES-0000374,SingleChannel,18,24.671,35.64
ES-0000375,SingleChannel,19,24.03,35.3
ES-0000376,SingleChannel,23,24.657,34.11
ES-0000377,SingleChannel,21,23.431,37.07
ES-0000378,SingleChannel,22,23.101,33.91
ES-0000379,SingleChannel,23,24.949,35.24
ES-0000380,SingleChannel,21,24.995,36.71
ES-0000381,SingleChannel,19,22.086,37.26
ES-0000382,SingleChannel,22,24.471,34.98
ES-0000383,SingleChannel,18,24.378,36.45
ES-0000384,SingleChannel,22,24.934,35.46
ES-0000385,SingleChannel,20,25.844,36.63
ES-0000386,SingleChannel,22,23.184,35.22
ES-0000387,SingleChannel,22,24.642,35.9
ES-0000388,SingleChannel,23,23.142,36.19
ES-0000389,SingleChannel,18,24.716,35.95
ES-0000390,SingleChannel,19,24.234,38.51
ES-0000391,SingleChannel,18,24.367,34.24
ES-0000392,SingleChannel,19,26.099,34.82
ES-0000393,SingleChannel,20,23.995,36.36
ES-0000394,SingleChannel,22,25.389,36.22
ES-0000395,SingleChannel,19,23.824,33.8
ES-0000396,SingleChannel,22,22.927,34.58
ES-0000397,SingleChannel,18,23.979,34.87
ES-0000398,SingleChannel,21,23.459,36.19
ES-0000399,SingleChannel,18,23.623,33.71
ES-0000400,SingleChannel,23,23.025,37.17
ES-0000401,SingleChannel,19,23.633,37.93
ES-0000402,SingleChannel,22,24.447,35.91
ES-0000403,SingleChannel,20,24.721,35.82
ES-0000404,SingleChannel,20,24.868,36.25
ES-0000405,SingleChannel,23,24.455,32.81
ES-0000406,SingleChannel,20,24.634,36.47
ES-0000407,SingleChannel,23,22.099,35.93
ES-0000408,SingleChannel,19,24.165,36.04
ES-0000409,SingleChannel,23,24.899,36.25
ES-0000410,SingleChannel,21,24.462,37.71
ES-0000411,SingleChannel,18,24.225,35.34
ES-0000412,SingleChannel,22,24.335,36.33
ES-0000413,SingleChannel,20,24.699,35.17
ES-0000414,SingleChannel,22,23.686,37.33
ES-0000415,SingleChannel,19,25.81,35.46
ES-0000416,SingleChannel,18,25.47,35.09
ES-0000417,SingleChannel,22,23.637,35.29
ES-0000418,SingleChannel,18,23.606,36.22
ES-0000419,SingleChannel,20,22.779,38.31
ES-0000420,SingleChannel,19,23.575,35.66
ES-0000421,SingleChannel,21,24.247,35.37
ES-0000422,SingleChannel,22,24.392,35.32
ES-0000423,SingleChannel,19,22.089,36.55
ES-0000424,SingleChannel,23,25.105,35.28
ES-0000425,SingleChannel,20,23.898,34.0
ES-0000426,SingleChannel,23,24.567,35.21
ES-0000427,SingleChannel,20,26.032,37.42
ES-0000428,SingleChannel,20,23.439,38.57
ES-0000429,SingleChannel,23,24.809,35.33
ES-0000430,SingleChannel,19,23.583,34.03
ES-0000431,SingleChannel,20,23.166,34.68
ES-0000432,SingleChannel,19,25.647,36.78
ES-0000433,SingleChannel,22,23.739,36.03
ES-0000434,SingleChannel,23,24.832,35.52
ES-0000435,SingleChannel,23,23.468,37.25
ES-0000436,SingleChannel,20,23.842,37.6
ES-0000437,SingleChannel,21,23.914,37.25
ES-0000438,SingleChannel,21,22.751,37.14
ES-0000439,SingleChannel,18,24.113,34.89
ES-0000440,SingleChannel,21,26.353,34.95
ES-0000441,SingleChannel,23,24.597,35.01
ES-0000442,SingleChannel,21,24.901,33.9
ES-0000443,SingleChannel,18,24.865,36.02
ES-0000444,SingleChannel,23,22.851,34.84
ES-0000445,SingleChannel,20,24.52,37.38
ES-0000446,SingleChannel,20,24.496,35.95
ES-0000447,SingleChannel,22,23.741,35.56
ES-0000448,SingleChannel,19,24.668,35.36
ES-0000449,SingleChannel,21,23.549,36.87
ES-0000450,SingleChannel,23,23.104,34.45
ES-0000451,SingleChannel,21,24.667,36.63
ES-0000452,SingleChannel,19,25.272,33.95
ES-0000453,SingleChannel,20,23.895,34.59
ES-0000454,SingleChannel,18,24.078,34.58
ES-0000455,SingleChannel,18,23.211,37.07
ES-0000456,SingleChannel,21,23.237,36.43
ES-0000457,SingleChannel,20,25.319,35.18
ES-0000458,SingleChannel,18,25.574,37.03
ES-0000459,SingleChannel,19,23.665,35.9
ES-0000460,SingleChannel,18,23.69,36.58
ES-0000461,SingleChannel,23,24.48,35.94
ES-0000462,SingleChannel,21,24.445,36.25
ES-0000463,SingleChannel,18,25.042,36.38
ES-0000464,SingleChannel,21,25.679,34.61
ES-0000465,SingleChannel,19,24.211,34.95
ES-0000466,SingleChannel,20,22.884,36.6
ES-0000467,SingleChannel,20,23.784,36.64
ES-0000468,SingleChannel,22,24.283,36.67
ES-0000469,SingleChannel,18,26.095,34.06
ES-0000470,SingleChannel,18,23.464,36.18
ES-0000471,SingleChannel,18,24.04,35.43
ES-0000472,SingleChannel,21,25.174,34.84
ES-0000473,SingleChannel,21,25.101,36.82
ES-0000474,SingleChannel,20,25.407,35.27
ES-0000475,SingleChannel,22,24.83,36.7
ES-0000476,SingleChannel,21,23.831,35.23
ES-0000477,SingleChannel,19,22.839,35.51
ES-0000478,SingleChannel,22,26.229,36.48
ES-0000479,SingleChannel,23,24.413,37.29
ES-0000480,SingleChannel,21,22.713,34.53
ES-0000481,SingleChannel,19,23.231,34.89
ES-0000482,SingleChannel,22,24.183,34.93
ES-0000483,SingleChannel,19,24.476,37.2
ES-0000484,SingleChannel,20,25.816,36.23
ES-0000485,SingleChannel,21,24.234,37.54
ES-0000486,SingleChannel,18,24.27,34.66
ES-0000487,SingleChannel,22,24.407,35.42
ES-0000488,SingleChannel,20,25.316,36.36
ES-0000489,SingleChannel,22,24.17,37.54
ES-0000490,SingleChannel,23,24.031,36.82
ES-0000491,SingleChannel,21,24.539,37.44
ES-0000492,SingleChannel,19,24.764,38.81
ES-0000493,SingleChannel,19,25.054,34.75
ES-0000494,SingleChannel,20,23.249,32.91
ES-0000495,SingleChannel,19,24.438,38.17
ES-0000496,SingleChannel,23,24.687,34.73
ES-0000497,SingleChannel,20,26.358,35.59
ES-0000498,SingleChannel,22,23.428,35.02
ES-0000499,SingleChannel,18,24.516,36.42
ES-0000500,SingleChannel,22,24.853,36.01
ES-0000501,SingleChannel,21,23.062,36.25
ES-0000502,SingleChannel,20,23.78,35.35
ES-0000503,SingleChannel,21,24.578,37.87
ES-0000504,SingleChannel,22,24.981,36.82
ES-0000505,SingleChannel,18,23.796,36.25
ES-0000506,SingleChannel,22,24.871,35.26
ES-0000507,SingleChannel,23,23.944,36.46
ES-0000508,SingleChannel,21,24.393,36.89
ES-0000509,SingleChannel,23,23.606,39.8
ES-0000510,SingleChannel,20,25.674,37.47
ES-0000511,SingleChannel,22,23.186,36.0
ES-0000512,SingleChannel,23,23.829,38.23
ES-0000513,SingleChannel,19,22.618,35.79
ES-0000514,SingleChannel,19,23.816,38.1
ES-0000515,SingleChannel,21,25.585,34.88
ES-0000516,SingleChannel,19,24.58,36.7
ES-0000517,SingleChannel,19,23.843,37.16
ES-0000518,SingleChannel,20,23.246,38.94
ES-0000519,SingleChannel,20,24.867,36.5
ES-0000520,SingleChannel,20,25.013,37.35
ES-0000521,SingleChannel,19,23.652,35.92
ES-0000522,SingleChannel,19,24.801,36.48
ES-0000523,SingleChannel,18,23.737,35.17
ES-0000524,SingleChannel,18,23.343,35.91
ES-0000525,SingleChannel,18,24.733,35.48
ES-0000526,SingleChannel,21,25.211,38.12
ES-0000527,SingleChannel,19,24.481,37.08
ES-0000528,SingleChannel,20,26.742,36.94
ES-0000529,SingleChannel,21,24.261,37.5
ES-0000530,SingleChannel,18,24.194,37.48
ES-0000531,SingleChannel,18,26.112,35.48
ES-0000532,SingleChannel,23,24.261,34.7
ES-0000533,SingleChannel,18,22.956,34.56
ES-0000534,SingleChannel,18,24.14,36.32
ES-0000535,SingleChannel,19,23.903,38.05
ES-0000536,SingleChannel,19,24.829,35.64
ES-0000537,SingleChannel,20,24.184,35.59
ES-0000538,SingleChannel,18,24.117,36.13
ES-0000539,SingleChannel,21,23.85,34.41
ES-0000540,SingleChannel,20,24.214,34.74
ES-0000541,SingleChannel,19,24.123,36.19
ES-0000542,SingleChannel,23,24.511,36.84
ES-0000543,SingleChannel,20,24.563,35.33
ES-0000544,SingleChannel,22,23.538,36.2
ES-0000545,SingleChannel,22,24.474,34.44
ES-0000546,SingleChannel,22,23.775,36.63
ES-0000547,SingleChannel,20,25.346,35.49
ES-0000548,SingleChannel,18,21.911,35.7
ES-0000549,SingleChannel,19,22.986,37.44
ES-0000550,SingleChannel,23,23.868,35.99
ES-0000551,SingleChannel,20,24.329,33.47
ES-0000552,SingleChannel,18,24.997,36.28
ES-0000553,SingleChannel,21,23.641,37.22
ES-0000554,SingleChannel,18,22.959,36.4
ES-0000555,SingleChannel,18,23.416,36.87
ES-0000556,SingleChannel,19,24.247,38.52
ES-0000557,SingleChannel,23,23.488,36.18
ES-0000558,SingleChannel,21,24.915,34.48
ES-0000559,SingleChannel,21,24.107,36.19
ES-0000560,SingleChannel,21,23.695,37.57
ES-0000561,SingleChannel,21,24.315,37.6
ES-0000562,SingleChannel,18,24.528,35.79
ES-0000563,SingleChannel,20,24.015,37.05
ES-0000564,SingleChannel,19,23.628,38.38
ES-0000565,SingleChannel,21,23.783,36.64
ES-0000566,SingleChannel,19,22.962,37.31
ES-0000567,SingleChannel,22,22.521,34.65
ES-0000568,SingleChannel,18,23.163,35.86
ES-0000569,SingleChannel,23,24.358,37.15
ES-0000570,SingleChannel,20,22.416,35.69
ES-0000571,SingleChannel,21,23.126,37.1
ES-0000572,SingleChannel,22,24.173,35.87
ES-0000573,SingleChannel,18,25.036,36.98
ES-0000574,SingleChannel,20,24.91,34.3
ES-0000575,SingleChannel,20,24.993,35.47
ES-0000576,SingleChannel,22,23.353,35.71
ES-0000577,SingleChannel,19,23.506,36.67
ES-0000578,SingleChannel,19,23.568,36.96
ES-0000579,SingleChannel,18,24.558,34.83
ES-0000580,SingleChannel,18,24.671,35.05
ES-0000581,SingleChannel,18,25.014,36.56
