file,category,doi,title,authors,year,venue,source,size_bytes,sha256
"papers/Blockchain_Based_Soybean_Traceability_in_Agricultural_Supply_Chain.pdf","reference_bib","10.1109/access.2019.2918000","Blockchain-Based Soybean Traceability in Agricultural Supply Chain","Salah, Khaled and Nizamuddin, Nishara and Jayaraman, Raja and Omar, Mohammed","2019","IEEE Access","ali2022secureIOT","4645319","a959b122ab41b18e85d2f5b58ff83ebc103ec4b8d3c92e2112df7229fdad0e91"
"papers/Blockchain_Driven_Security_Models_for_Privacy_Preservation_in_IoT_Based_Smart_Cities.pdf","supplemental_related_oa","","Blockchain Driven Security Models for Privacy Preservation in IoT Based Smart Cities","","","","related OA search","740682","330641f107dfe419decf1de3aa1e966995b4a3f6aca6a2a67fc5350900edf060"
"papers/Blockchain_Enabled_Electronic_Health_Record_Model_for_Managing_Patients_Vital_Data_and_Medical_Reports.pdf","supplemental_related_oa","","Blockchain Enabled Electronic Health Record Model for Managing Patients Vital Data and Medical Reports","","","","related OA search","1554213","4b4705d7a93065665a5b45f6a71a0f4e1bb05d1161741daaaed96d039576c89f"
"papers/Blockchain_HIE_Overview_A_Framework_for_Healthcare_Interoperability.pdf","supplemental_related_oa","","Blockchain HIE Overview A Framework for Healthcare Interoperability","","","","related OA search","392087","153bd4e208ad7659cb775ec2944dda8111ca25273be5657861423da7ba1c74dc"
"papers/Blockchain_Interoperability_and_Self_Sovereign_Identity_Trust_Me_It_s_My_Data.pdf","supplemental_related_oa","","Blockchain Interoperability and Self Sovereign Identity Trust Me It s My Data","","","","related OA search","526825","72599d77fefd5b68e3f0ba7b820f396b2e5cf77bf0595429ec90b64b72731907"
"papers/Blockchain_Layer_2_Rollups_Optimistic_vs_zero_knowledge.pdf","cited_in_manuscripts","10.34218/ijaret.14.2.002","Blockchain Layer 2 Rollups, Optimistic vs zero knowledge","Ohm Patel","2023","INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ENGINEERING AND TECHNOLOGY","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","631429","ad393b0c3b11331ba7a796ad25c4d60595ca9438e9d55096bb555756aea3bf61"
"papers/Blockchain_Scalability_Analysis_and_Improvement_of_Bitcoin_Network_through_Enhanced_Transaction_Adjournme.pdf","supplemental_related_oa","10.31185/wjcms.298","Blockchain Scalability Analysis and Improvement of Bitcoin Network through Enhanced Transaction Adjournment Techniques","Umar Danjuma Maiwada","2025","Wasit Journal of Computer and Mathematics Science","related OA search","1373013","2ae93e6c5867bb1c6a8f7f4d80a9aede6efb6a88374455ac0c23126dbfa98547"
"papers/Blockchain_Technologies_for_the_Internet_of_Things_Research_Issues_and_Challenges.pdf","reference_bib","10.1109/jiot.2020.2984478","Blockchain Technologies for the Internet of Things: Research Issues and Challenges","Ferrag, M. A. and Shu, L. and Debbah, M.","2020","IEEE Internet of Things Journal","ferrag2020blockchain","2990451","6a926661a8d4eafdfde40cdd8e07f869e405c6b5a0efc6da5a58525fc208ae6d"
"papers/Blockchain_Technology_to_Enhance_Clinical_Data_Management_in_Healthcare_A_Systematic_Literature_Review.pdf","supplemental_related_oa","","Blockchain Technology to Enhance Clinical Data Management in Healthcare A Systematic Literature Review","","","","related OA search","1624001","979c39bd7617b784f6866730c7d088061a6b222528fb5a6ce7f17a1325fb7f54"
"papers/Blockchain_and_Electronic_Health_Records_Security_in_Hospitals.pdf","supplemental_related_oa","10.58777/its.v2i2.359","Blockchain and Electronic Health Records Security in Hospitals","Van Nhan Nguyen; Trần Thí Thúy Vân","2025","Information Technology and Systems","related OA search","803892","d57dffe7ed2c138b194517abf166ff9149df1423df4aebca91df155c8c819cf4"
"papers/Blockchain_backed_sustainable_management_of_the_Italian_tomato_processing_industry.pdf","reference_bib","10.3390/agriculture14071120","Blockchain-backed sustainable management of the Italian tomato processing industry","Safeer, Sajid and Ricciardi, Paolo and Romano, Alessandro and Russo, Guido","2024","Agriculture","safeer2024tomato","2621248","77b7ffe19c92c4b90fae6976c264f49133fde8e2bb7887011066b89f78fdc995"
"papers/Blockchain_based_secured_traceability_system_for_the_agriculture_supply_chain_of_ginger_in_Nepal_A_case_s.pdf","supplemental_related_oa","","Blockchain based secured traceability system for the agriculture supply chain of ginger in Nepal A case s","","","","related OA search","500361","c6a75d8798364180ade15763eb644d39611a8ea38afd4915ad9c428223b09a1b"
"papers/Blockchain_for_Secure_EHRs_Sharing_of_Mobile_Cloud_Based_E_Health_Systems.pdf","reference_bib","10.1109/access.2019.2917555","Blockchain for Secure EHRs Sharing of Mobile Cloud Based E-Health Systems","Nguyen, Dinh C. and Pathirana, Pubudu N. and Ding, Ming and Seneviratne, Aruna","2019","IEEE Access","ogunleye2020iotBlockchain","7864126","b93e3ff8227a18b026a7f73fa5e4242cf46498ba7b0c1b9c087b4b322bd541fe"
"papers/Blockchain_in_internet_of_things_challenges_and_solutions.pdf","reference_bib","10.1109/comst.2017.2694144","Blockchain in internet of things: challenges and solutions","Dorri, Ali and Kanhere, Salil S. and Jurdak, Raja","2017","IEEE Communications Surveys \& Tutorials","anderson2021iotBlockchain","1362112","1d6c481e875a9572db5bf3a849640b0adcc547f25c39dcf800b6fff8bb4e1bd8"
"papers/Blockchain_technology_in_agriculture_Ensuring_transparency_and_traceability_in_the_food_supply_chain.pdf","supplemental_related_oa","","Blockchain technology in agriculture Ensuring transparency and traceability in the food supply chain","","","","related OA search","676842","1193a0c1d1da82ccbc6f30ba6c4f85e5bbed9b4dc8fd23d4ce587ec688ad6f44"
"papers/CRT_Based_Parallel_Residue_Transmission_for_Distributed_Edge_Blockchain_Computing_A_Scalable_IoT_Cluster_Archi.pdf","cited_in_manuscripts","10.21203/rs.3.rs-9070688/v1","CRT-Based Parallel Residue Transmission for Distributed Edge Blockchain Computing: A Scalable IoT Cluster Architecture for Arid Agriculture","Glen beloa forcha; Michael Ekonde Sone; Elie Fute Tagne; André Paul ASSE MVOGO","2026","""","paper version 1 to upload for report","1121564","607f5f117a4eb50f97295458a90d0bb9d16ce424d8811225cff1ca300c33ea8d"
"papers/Centralized_exchanges_vs_decentralized_exchanges_in_cryptocurrency_markets_A_systematic_literature_review.pdf","prior_related","10.1007/s12525-024-00714-2","Centralized exchanges vs. decentralized exchanges in cryptocurrency markets: A systematic literature review","Sascha Hägele","2024","Electronic Markets","Recommended via topic search: Chinese remainder theorem blockchain cryptography","1692696","daeffe35e88b70c80ce262c30778ffc79ab4f92c425cdad9043f7e3e83148df7"
"papers/Certificateless_Provable_Data_Possession_Scheme_for_Cloud_Based_Electronic_Health_Records_System.pdf","cited_in_manuscripts","10.3390/math12243883","Certificateless Provable Data Possession Scheme for Cloud-Based Electronic Health Records System","Yujie Wu; Xiao Tan; Qi Xie","2024","Mathematics","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","953874","fc9013c31467f038275a3bffdacf99046f743fcaa7923db2f81c54354b122040"
"papers/Collaborative_Networks_Integrating_Blockchain_for_Enhanced_Trust_and_Transparency.pdf","prior_related","10.38124/ijisrt/ijisrt24jul180","Collaborative Networks: Integrating Blockchain for Enhanced Trust and Transparency","Ajit Kumar; Om Prakash Roy","2024","International Journal of Innovative Science and Research Technology (IJISRT)","Recommended via topic search: blockchain healthcare electronic health records privacy","263989","84ca8a4fefac4f093b32a040892c295f9682efa4ca6a3c14f2574ec0cdfd01a2"
"papers/Commercially_Successful_Blockchain_Healthcare_Projects_A_Scoping_Review.pdf","supplemental_related_oa","","Commercially Successful Blockchain Healthcare Projects A Scoping Review","","","","related OA search","1031163","3f7cc746a0d2e85ee5f9fafb83c5da9dcc9ebeacc6f2599c0d99082e34cb3b2f"
"papers/Convergence_of_edge_computing_and_deep_learning_A_comprehensive_survey.pdf","reference_bib","10.1109/comst.2020.2970550","Convergence of edge computing and deep learning: A comprehensive survey","Wang, Xiaofei and Han, Yi and Leung, Victor C. M. and Niyato, Dusit and Yan, Xueqiang and Chen, Xu","2021","IEEE Communications Surveys \& Tutorials","wang2021edge","2180256","2da20d4941d610dfc77bd85c8f8ee517d97995c59d1a04d9ec12b8f1785d0769"
"papers/Decentralizing_Privacy_Using_Blockchain_to_Protect_Personal_Data.pdf","reference_bib","10.1109/spw.2015.27","Decentralizing Privacy: Using Blockchain to Protect Personal Data","Zyskind, Guy and Nathan, Oz and Pentland, Alex","2015","2015 IEEE Security and Privacy Workshops","kim2023privacy","617734","10889fd85f75af7de487b19f677ab9742ce448bab3e81a0839b5b54d76de0b29"
"papers/Deep_learning_enables_precision_agriculture_for_sustainable_chili_pepper_disease_detection_in_Benin.pdf","reference_bib","10.1007/s44163-025-00583-4","Deep learning enables precision agriculture for sustainable chili pepper disease detection in Benin","Odounfa, Mireille Gloria Founmilayo and Hounmenou, Castro Gbêmêmali and Salako, Valère Kolawolé and Affokpon, Antoine and Glèlè Kakaï, Romain L.","2025","Discover Artificial Intelligence","odounfa2025chili","3613201","1e668796f0674a9dd8a8f62499cb9767ec5ba4125f35a93f8a301cf62a892b52"
"papers/Design_of_Dual_Mode_Local_Oscillators_Using_CMOS_Technology_for_Motion_Detection_Sensors.pdf","reference_bib","10.3390/s18041057","A novel data compression method for wireless sensor networks","Wang, Yong and Chen, Irene and Wang, Dazhi","2018","Sensors","wang2018novel","12013598","d3a33a7e9eac1f1d5894b0ebcc1f912c712625e1496b7fab57d5893f3b0f3556"
"papers/Developing_Blockchain_Algorithms_in_the_IoT_Network_to_Secure_DataIntegrity_and_System_Scalability.pdf","supplemental_related_oa","","Developing Blockchain Algorithms in the IoT Network to Secure DataIntegrity and System Scalability","","","","related OA search","747878","55b31bd056364f6ee9b169a803610f82085dde49d10473582bfab742dac04240"
"papers/Developing_Ubiquitous_Sensor_Network_Platform_Using_Internet_of_Things_Application_in_Precision_Agricultu.pdf","reference_bib","10.3390/s16071141","Developing Ubiquitous Sensor Network Platform Using Internet of Things: Application in Precision Agriculture","Ferrandez-Pastor, Francisco-Javier and Garcia-Chamizo, Juan-Manuel and Nieto-Hidalgo, Mario and Mora-Pascual, Joselito and Mora-Martinez, Jose","2016","Sensors","knight2025iotResilience","9001532","253d88ce24428e27c344d92598005a3eb6095114a3b8a21650e3fb68aeb2c188"
"papers/Digital_twins_for_health_a_scoping_review.pdf","prior_related","10.1038/s41746-024-01073-0","Digital twins for health: a scoping review","Evangelia Katsoulakis; Qi Wang; Huanmei Wu; Leili Shahriyari; R. Fletcher; Jinwei Liu; Luke E. K. Achenie; Hongfang Liu; Pamela Jackson; Ying Xiao; Tanveer Syeda-Mahmood; Richard Tuli; Jun Deng","2024","npj Digital Medicine","Recommended via topic search: blockchain healthcare electronic health records privacy","1391045","76e469605c383f55d9c0cf32e13a7ced36737def478c15382d48f6465203ea8d"
"papers/Disruptive_Technologies_for_Environment_and_Health_Research_An_Overview_of_Artificial_Intelligence_Blockchain_.pdf","cited_in_manuscripts","10.3390/ijerph16203847","Disruptive Technologies for Environment and Health Research: An Overview of Artificial Intelligence, Blockchain, and Internet of Things","Frederico M. Bublitz; Arlene Oetomo; Kirti S. Sahu; Amethyst Kuang; Laura X. Fadrique; Pedro E. Velmovitsky; Raphael M. Nobrega; Plinio P. Morita","2019","International Journal of Environmental Research and Public Health","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","703039","acf465b7f1690864228e326ed799e436ae062f3cf21f55ef153e8caff4a55318"
"papers/EACMS_Emergency_Access_Control_Management_System_for_Personal_Health_Record_Based_on_Blockchain.pdf","cited_in_manuscripts","10.1109/access.2019.2917976","EACMS: Emergency Access Control Management System for Personal Health Record Based on Blockchain","Ahmed Raza Rajput; Qianmu Li; Milad Taleby Ahvanooey; Isma Masood","2019","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","7369466","43a946c61587c7a24f9f5a94393b4d86e47f6a4eaceb2bc540850fda1721c417"
"papers/EdgeMediChain_A_Hybrid_Edge_Blockchain_Based_Framework_for_Health_Data_Exchange.pdf","cited_in_manuscripts","10.1109/access.2020.3003575","EdgeMediChain: A Hybrid Edge Blockchain-Based Framework for Health Data Exchange","Raifa Akkaoui; Xiaojun Hei; Wenqing Cheng","2020","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","3031781","d538edba7a4ec6ceb06045030cbbd27b3e926e30c06fbb935124939d8406b917"
"papers/Edge_Computing_Enabled_Smart_Agriculture_Technical_Architectures_Practical_Evolution_and_Bottleneck_Break.pdf","reference_bib","10.3390/s25175302","Edge Computing-Enabled Smart Agriculture: Technical Architectures, Practical Evolution, and Bottleneck Breakthroughs","Gong, Ran and Zhang, Hongyang and Li, Gang and He, Jiamin","2025","Sensors","gong2025edge","2078757","ff6722b2ababc4b5c76cab118fa83a37c44b74e4d20cce785b44829b47345d0e"
"papers/Effects_of_Water_Deficit_on_Growth_Physiology_and_Fruit_Quality_Traits_of_Two_Contrasting_Tomato_Solanum_.pdf","reference_bib","10.3390/agriculture11100927","Effects of Water Deficit on Growth, Physiology and Fruit Quality Traits of Two Contrasting Tomato (Solanum lycopersicum L.) Genotypes","Boukhriss, Monia and Marzouk, Arwa and Cherif, Ines and Gaalich, Badr and Triki, Tarek and Zoghlami, Nihed","2021","Agriculture","mdpi_tunisia_tomato","227446","b57feda3d055c28a1b66fbdc4260659b5b5c693677671c366142d69c76227e87"
"papers/Efficient_Health_Information_Exchange_Automation_System_based_on_Blockchain_and_IPFS.pdf","supplemental_related_oa","","Efficient Health Information Exchange Automation System based on Blockchain and IPFS","","","","related OA search","2703075","7705a239a1958cd684abf87e4b2ebff26d4f322f7fc0f21e54bf4c13fef571c9"
