key,title,authors,year,venue,doi,status,oa_status,reason,oa_pdf_url,notes
"aydin2021comprehensive","A comprehensive review of IoT and wireless sensor networks in precision agriculture","Aydin, Gokhan and Hall, Michael J.","2021","IEEE Access","10.1109/access.2021.3129552","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"sharma2020edge","Live data analytics with collaborative edge and cloud processing in wireless IoT networks","Sharma, Sandeep K. and Wang, Xianbin","2020","IEEE Internet of Things Journal","10.1109/jiot.2020.2977767","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://orbilu.uni.lu/handle/10993/40066","OA PDF download failed"
"liu2019edge","Intelligent edge computing for IoT-based energy management in smart cities","Liu, Yang and Yang, Cheng and Jiang, Li and Xie, Shengli and Zhang, Yan","2019","IEEE Network","10.1109/mnet.2019.1800254","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"van2020review","Crop yield prediction using machine learning: A systematic literature review","Van Klompenburg, Thomas and Kassahun, Ayalew and Catal, Cagatay","2020","Computers and Electronics in Agriculture","10.1016/j.compag.2020.105709","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0168169920302301/pdf","OA location did not return a PDF"
"goap2018iot","An IoT based smart irrigation management system using Machine learning and open source technologies","Goap, Amarendra and Sharma, Dinesh and Shukla, A. K. and Rama Krishna, C.","2018","Computers and Electronics in Agriculture","10.1016/j.compag.2018.09.040","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"chlingaryan2018machine","Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review","Chlingaryan, Anna and Sukkarieh, Salah and Whelan, Brett","2018","Computers and Electronics in Agriculture","10.1016/j.compag.2018.05.012","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"tian2017supply","A supply chain traceability system for food safety based on HACCP, blockchain & Internet of Things","Tian, Feng","2017","Proceedings of the 2017 International Conference on Service Systems and Service Management (ICSSSM)","10.1109/icsssm.2017.7996119","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"amdahl1967validity","Validity of the single processor approach to achieving large scale computing capabilities","Amdahl, Gene M.","1967","Proceedings of the April 18-20, 1967, Spring Joint Computer Conference","10.1145/1465482.1465560","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"espressif2020esp32","ESP32 Technical Reference Manual","Espressif Systems","2020","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"galvez2018future","Future challenges on the use of blockchain for food traceability analysis","Galvez, Juan F. and Mejuto, Javier and Simal-Gandara, Jesus","2018","TrAC Trends in Analytical Chemistry","10.1016/j.trac.2018.08.011","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"lin2018blockchain","Blockchain and IoT based food traceability system for smart agriculture","Lin, Jian and Shen, Zhiqi and Zhang, Anting and Chai, Yi","2018","Proceedings of the 3rd International Conference on Crowd Science and Engineering","10.1145/3265689.3265692","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dr.ntu.edu.sg/bitstream/10356/137329/2/Blockchain%20and%20IoT%20based%20Food%20Traceability%20for%20Smart%20Agriculture-AcceptedVersion.pdf","OA location did not return a PDF"
"haque2024scalable","Conceptualizing smart city applications: Requirements, architecture, security issues, and emerging trends","Haque, Abu Bakar and Bhushan, Bharat and Dhiman, Gaurav","2024","Expert Systems","10.1111/exsy.13382","matched","bronze","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/exsy.13382","OA location did not return a PDF"
"rama2021systematic","A systematic review of blockchain technology for agriculture supply chain management","Rama, R. and Kanchana, V. and Sivasankari, N. and Prabha, S.","2021","Materials Today: Proceedings","10.1016/j.matpr.2021.06.253","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"patil2022blockchain","A framework for blockchain-based smart farming system using IoT","Patil, Akshay S. and Tama, Bayu Adhi and Park, YoungHo and Rhee, Kyung-Hyune","2022","IEEE Access","10.1109/access.2022.3142563","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"li2018lossless","5G Internet of Things: A survey","Li, Shancang and Da Xu, Li and Zhao, Shanshan","2018","Journal of Industrial Information Integration","10.1016/j.jii.2018.01.005","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://eprints.uwe.ac.uk/34737/1/IoT5m.pdf","OA PDF download failed"
"kjellsson2008adaptive","Adaptive sampling for sensor networks","Kjellsson, Jesper and Zakhor, Avideh","2008","ACM Transactions on Sensor Networks","10.1145/1362542.1362545","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"ding1996remainder","Chinese Remainder Theorem: Applications in Computing, Coding, Cryptography","Ding, Cunsheng and Pei, Dingyi and Salomaa, Arto","1996","World Scientific Publishing","10.1142/2893","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"garner1959residue","The residue number system","Garner, Harvey L.","1959","IRE Transactions on Electronic Computers","10.1109/tec.1959.5219515","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"goldreich1999china","Chinese remaindering with errors","Goldreich, Oded and Ron, Dana and Sudan, Madhu","1999","Proceedings of the 31st Annual ACM Symposium on Theory of Computing","10.1145/301250.301308","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"marcelloni2009energy","A simple algorithm for data compression in wireless sensor networks","Marcelloni, Francesco and Vecchio, Massimo","2008","IEEE Communications Letters","10.1109/lcomm.2008.080300","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"heinzelman2000energy","Energy-efficient communication protocol for wireless microsensor networks","Heinzelman, Wendi Rabiner and Chandrakasan, Anantha and Balakrishnan, Hari","2000","Proceedings of the 33rd Annual Hawaii International Conference on System Sciences","10.1109/hicss.2000.926982","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"bor2016lorawan","Do LoRa Low-Power Wide-Area Networks Scale?","Bor, Martin C. and Roedig, Utz and Voigt, Thiemo and Alonso, Juan M.","2016","Proceedings of the 19th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems (MSWiM)","10.1145/2988287.2989163","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://dl.acm.org/ft_gateway.cfm?id=2989163&type=pdf","OA PDF download failed"
"li2020performance","Performance analysis of LoRa networks for smart agriculture","Li, Shancang and Li, Jie and Liu, Jia and Wang, Hao and Zhao, Shanshan","2020","IEEE Internet of Things Journal","10.1109/jiot.2020.2999323","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"raj2017comprehensive","A comprehensive study on LoRa technology for wireless sensor networks","Raj, Emilin Renu and Prasad, D. V.","2017","International Journal of Advanced Research in Computer Science","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"akylidiz2005wirelessmesh","A survey on wireless mesh networks","Akyildiz, Ian F. and Wang, Xudong","2005","IEEE Communications Magazine","10.1109/mcom.2005.1509968","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"schmidt2010batman","B.A.T.M.A.N. advanced: The new beginning of mesh networking","Schmidt, Thomas and Wählisch, Matthias and Liers, Andreas and Jopen, Michael","2010","Proceedings of the 5th International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities","10.4108/icst.tridentcom2010.8784","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"chettri2020comprehensive","A comprehensive survey on Internet of Things (IoT) toward 5G wireless systems","Chettri, Lalit and Bera, Rabindra","2020","IEEE Internet of Things Journal","10.1109/jiot.2019.2948888","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"xu2016blockchain","The blockchain as a software connector","Xu, Xiaolong and Pautasso, Cesare and Zhu, Liming and Gramoli, Vincent and Ponomarev, Alexander and Tran, An B. and Chen, Shiping","2016","Proceedings of the 13th IEEE International Conference on Software Architecture","10.1109/icsa.2016.15","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"zhang2019blockchain","Blockchain for IoT-based smart agriculture","Zhang, Peng and Schmidt, Douglas C. and White, Jules and Dubey, Abhishek","2019","Proceedings of the IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","10.1109/iemcon.2019.8936228","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"zhang2015prosper","PROSPER: A process mining-based framework for agricultural product traceability","Zhang, Xiaoshuan and Zhang, Jian and Li, Ling and Zhang, Yande","2015","Computers and Electronics in Agriculture","10.1016/j.compag.2015.10.008","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"fao2050","The future of food and agriculture: Trends and challenges","Food and Agriculture Organization of the United Nations","2017","","","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"un_water2023","Water for a Sustainable World","United Nations World Water Development Report","2023","","","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"tunisia_water_report","National Water Strategy 2050","Tunisian Ministry of Agriculture","2022","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"jaeid_pepper","Capsicum Production and Quality: A Review","Ib\'a\~nez, M. Victoria and Muy-Rangel, M. Dolores and Gonz\'alez-Aguilar, Gustavo A. and Heredia, J. Basilio","2020","HortScience","10.21273/hortsci15060-20","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"fao_tomato_guide","Good Agricultural Practices for Greenhouse Tomato Production","Food and Agriculture Organization","2013","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"tang2024feasibility","Assessing blockchain and IoT technologies for agricultural food supply chains in Africa: A feasibility analysis","Tang, Andrews and Tchao, Eric Tutu and Agbemenu, Andrew Selasi and Keelson, Eliel and Klogo, Griffith Selorm and Kponyo, Jerry John","2024","Heliyon","10.1016/j.heliyon.2024.e34584","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","http://www.cell.com/article/S2405844024106159/pdf","OA PDF download failed"
"wang2025hcps","Blockchain-empowered H-CPS architecture for smart agriculture","Wang, Xiaoding and Wu, Qibin and Zeng, Haitao and Yang, Xu and Cui, Hui and Yi, Xun and Piran, Md Jalil and Luo, Ming and Que, Youxiong","2025","Advanced Science","10.1002/advs.202503102","matched","open","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/advs.202503102","OA location did not return a PDF"
"zhang2022lorawan","LoRaWAN-based Internet of Things (IoT) system for precision irrigation in plasticulture fresh-market tomato","Zhang, Haozhe and He, Long and Di Gioia, Francesco and Choi, Daeun and Elia, Antonio and Heinemann, Paul","2022","Smart Agricultural Technology","10.1016/j.atech.2022.100053","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S2772375522000181/pdf","OA location did not return a PDF"
"bicamumakuba2025lorawan","IoT-enabled LoRaWAN gateway for monitoring and predicting spatial environmental parameters in smart greenhouses: A review","Bicamumakuba, Emmanuel and Habineza, Eliezel and Samsuzzaman and Reza, Md Nasim and Chung, Sun-Ok","2025","Precision Agriculture Science and Technology","10.22765/pastj.20250003","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"vidhya2021crt","Evaluation and Performance Analysis of Chinese Remainder Theorem and Its Application to Lossless Image Compression","Vidhya, P. and Brindha, R.","2021","International Journal of Computer Applications","10.5120/ijca2021921556","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"rahman2022rnsenergy","Modulo-Free Architecture for Binary to Residue Number System Conversion for Moduli Set $\2^n, 2^n-1, 2^n-1-1\$","Pourbigharaz, Farideh and Yassine, Hossein M.","1994","1994 IEEE International Symposium on Circuits and Systems (ISCAS)","10.1109/iscas.1994.408967","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"khan2023fuzzycrt","Improving lifetime in wireless sensor networks using the Residue Number System","Buttigieg, Victor and Farrugia, Reuben A. and Zammit-Mangion, Christoph","2014","IET Wireless Sensor Systems","10.1049/iet-wss.2013.0025","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"akylidiz2005wireless","A survey on wireless mesh networks","Akyildiz, Ian F. and Wang, Xudong","2005","IEEE Communications Magazine","10.1109/mcom.2005.1509968","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"nguyen2019blockchain","Blockchain for IoT Security and Privacy: The Case Study of a Smart Home","Dorri, Ali and Kanhere, Salil S. and Jurdak, Raja and Gauravaram, Praveen","2017","2017 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)","10.1109/percomw.2017.7917634","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"schmidt2010b.a.t.m.a.n.","B.A.T.M.A.N. for mobile ad-hoc networks","Schmidt, A. and Westenberger, M. and Seitz, J. and Kuladinithi, K. and Timm-Giel, A.","2010","Proceedings of IEEE CCNC","10.1109/ccnc.2010.5421784","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"van2017review","Crop yield prediction using machine learning: A systematic literature review","Van Klompenburg, Theo and Kassahun, Ayalew and Catal, Cagatay","2020","Computers and Electronics in Agriculture","10.1016/j.compag.2020.105709","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0168169920302301/pdf","OA location did not return a PDF"
"xu2020making","Making IoT fly: Blockchain-empowered cooperative air-ground networks","Xu, Ronghua and Chen, Jianhua and Blasch, Erik and Chen, Genshe","2020","IEEE Network","10.1109/mnet.011.2000111","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"lin2020blockchain","Blockchain and IoT based Food Traceability for Smart Agriculture","Lin, J. and Shen, Z. and Zhang, A. and Chai, Y.","2018","Proceedings of the 3rd International Conference on Crowd Science and Engineering","10.1145/3265689.3265692","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dr.ntu.edu.sg/bitstream/10356/137329/2/Blockchain%20and%20IoT%20based%20Food%20Traceability%20for%20Smart%20Agriculture-AcceptedVersion.pdf","OA location did not return a PDF"
"tian2016agri","An Agri-Food Supply Chain Traceability System for China Based on RFID and Blockchain Technology","Tian, F.","2016","2016 13th International Conference on Service Systems and Service Management","10.1109/icsssm.2016.7538424","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"benedict2021decentralized","Bubbles of Trust: A decentralized blockchain-based authentication system for IoT","Hammi, Mohamed Tahar and Hammi, Badis and Bellot, Patrick and Serhrouchni, Ahmed","2018","Computers \& Security","10.1016/j.cose.2018.06.004","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"tian2017traceability","A Supply Chain Traceability System for Food Safety Based on HACCP, Blockchain, and RFID","Tian, F.","2017","2017 International Conference on Applied System Innovation","10.1109/icasi.2017.7988632","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"reyna2018blockchain","On Blockchain and Its Integration with IoT: Challenges and Opportunities","Reyna, A. and Martín, C. and Chen, J. and Soler, E. and Díaz, M.","2018","Future Generation Computer Systems","10.1016/j.future.2018.05.046","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0167739X17329205/pdf","OA location did not return a PDF"
"acclima2022tdr","TDR-315N Soil Moisture Sensor Specifications","Acclima Inc.","2022","Acclima Datasheet","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"aosong2018dht22","DHT22 Temperature and Humidity Sensor Datasheet","AOSONG Electronics","2018","AOSONG Technical Documentation","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"adi2013ph","Low-Power Soil pH Measurement Techniques","Analog Devices","2013","Analog Devices Application Note","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"components1012020bh1750","BH1750 Light Sensor Module","Components101","2020","Components101","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"byrne2022bh1750","Calibrating the BH1750 for PAR Measurement","Byrne, M.","2022","IotaWatt Engineering Blog","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"adafruit2016rfm95w","RFM95W LoRa Radio Transceiver","Adafruit Industries","2016","Adafruit Product Guide","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"rpi2023specs","Raspberry Pi 4 Model B Technical Specifications","Raspberry Pi Foundation","2023","Raspberry Pi Documentation","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"waveshare2024sx1302","SX1302 LoRaWAN Gateway Module Overview","Waveshare Electronics","2024","Waveshare Wiki","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"microsoft2023tpm","Trusted Platform Module (TPM) Technology Overview","Microsoft Corporation","2023","Microsoft Learn","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"ttn2024eu868","EU868 LoRaWAN Frequency Plan","The Things Network","2024","TTN Documentation","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"loraalliance2021regional","LoRaWAN Regional Parameters v1.0","LoRa Alliance","2021","LoRa Alliance Technical Specification","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"meshunderground2025","Building a Self-Healing Raspberry Pi Mesh Using BATMAN-adv","Mesh Underground","2025","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"kishore2015mesh","Performance Evaluation of Mesh Protocols in Real-Time Test Beds","Kishore, D. M.","2015","International Research Journal of Engineering and Technology","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"cpalgCRT","Chinese Remainder Theorem --- cp\_algorithms","Kamil Debowski and others","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"garnersAlgorithm","Garner's Algorithm --- cp\_algorithms","Kamil Debowski and others","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"orderingServiceDoc","Ordering Service Documentation","Hyperledger Fabric Team","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"ibmFabric","Hyperledger Fabric Overview","IBM","2023","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"mdpiAccessControl","Hyperledger Fabric Access Control System for IoT Layer in Blockchain-Based Applications","Długosz, Pawel and others","2022","Sensors","10.3390/s22205981","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"mediumChaincode","Explained: Chaincode in Hyperledger Fabric","Kaur, Manpreet","2020","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"privateDataDoc","Private Data Collections Documentation","Hyperledger Fabric Team","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"johnny2024tomato","How to Grow Tomatoes from Seed","Johnny's Selected Seeds","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"seedco2021tomato","Field Tomato Production Guide","Prime SeedCo","2021","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"UCIPM2024","Fertilization: Tomato Pest Management Guidelines","UC ANR Statewide Integrated Pest Management Program","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"MU2020tomato","Growing Home Garden Tomatoes","University of Missouri Extension","2020","","","matched","green","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://hdl.handle.net/10355/51063","OA location did not return a PDF"
"UNebraska2008peppers","Garden Peppers (NebGuide G1879)","Lindgren, Dale T. and Hodges, Laurie and Browning, Sarah J.","2008","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"Rutgers2025peppers","Peppers — Mid-Atlantic Commercial Vegetable Production Recommendations 2024/2025","Rutgers Cooperative Extension","2024","","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"shimray2019kingchili","Effect of Spacing and Nutrient Management on Growth and Yield of King Chilli (Capsicum chinense)","Shimray, Akhoki G. and others","2019","Int. J. Curr. Microbiol. App. Sci.","10.20546/ijcmas.2019.808.318","matched","diamond","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.ijcmas.com/8-8-2019/Akhoki G. Shimray, et al.pdf","OA location did not return a PDF"
"mozambique2021lorawan","A Study of LoRaWAN Protocol Performance for IoT Applications in Smart Agriculture","Bouaziz, Maha and Rachedi, Abderrezak and Belghith, Aref","2020","Computer Communications","10.1016/j.comcom.2020.10.009","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"centenaro2016lorawanlimits","Long-range communications in unlicensed bands: The LoRa technology","Centenaro, Marco and Vangelista, Lorenzo and Zanella, Andrea and Zorzi, Michele","2016","IEEE Wireless Communications","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"greenbeans2013sensor","Physiological response of red pepper to different irrigation regimes under drip irrigation in the Mediterranean region of Turkey","Sezen, S. M. and Yazar, A. and Tekin, S. and Eker, S. and Kapur, B.","2019","Scientia Horticulturae","10.1016/j.scienta.2018.10.037","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"irrigation2022smart","An IoT based smart irrigation management system using Machine learning and open source technologies","Goap, Amarendra and Sharma, Dinesh and Shukla, A. K. and Rama Krishna, C.","2018","Computers and Electronics in Agriculture","10.1016/j.compag.2018.09.040","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"pepper2021moisturecontrol","Effect of drip and sprinkler irrigation on yield and quality of field grown bell pepper","Sezen, S. M. and Yazar, A. and Eker, S.","2006","Agricultural Water Management","10.1016/j.agwat.2005.04.008","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"capsicumspacing2017study","Drip-irrigated pepper production in Florida","Simonne, Eric and Studstill, David W. and Hochmuth, Robert C. and Olczyk, Tom and Webb, Sidney E.","2006","HortTechnology","10.21273/horttech.16.2.0283","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"precision2020yield","Effects of soil water deficit on yield and quality of processing tomato under a Mediterranean climate","Patanè, Cristina and Cosentino, Salvatore L.","2010","Agricultural Water Management","10.1016/j.agwat.2009.08.021","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"iotreview2021productivity","A comprehensive review of IoT and wireless sensor networks in precision agriculture","Aydin, Gokhan and Hall, Michael J.","2021","IEEE Access","10.1109/access.2021.3129552","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"pepperquality2019irrigation","Yield response and N-fertiliser recovery of tomato grown under deficit irrigation","Topcu, Suat and Kirda, Cengiz and Dasgan, Yildiz and Kaman, Haluk and Cetin, Mehmet and Yazici, Ali and Bacon, Michael A.","2007","European Journal of Agronomy","10.1016/j.eja.2006.08.004","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"crtcompression2018","Evaluation and Performance Analysis of Chinese Remainder Theorem and Its Application to Lossless Image Compression","Vidhya, P. and Brindha, R.","2021","International Journal of Computer Applications","10.5120/ijca2021921556","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"fabric2019performance","Hyperledger Fabric: A Distributed Operating System for Permissioned Blockchains","Androulaki, Elli and Barger, Artem and Bortnikov, Vita and Cachin, Christian and Christidis, Konstantinos and De Caro, Angelo and Enyeart, David and Ferris, Christopher and Laventman, Gennady and Manevich, Yacov and Muralidharan, Srinivasan and Murthy, Chet and Nguyen, Binh and Sethi, Manish and Singh, Gari and Smith, Keith and Sorniotti, Alessandro and Stathakopoulou, Chrysoula and Vukoli\'c, Marko and Cocco, Sharon Weed and Yellick, Jason","2018","Proceedings of the 13th EuroSys Conference","10.1145/3190508.3190538","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://dl.acm.org/doi/pdf/10.1145/3190508.3190538","OA location did not return a PDF"
"tian2017agri","A supply chain traceability system for food safety based on HACCP, blockchain \& Internet of Things","Tian, Feng","2017","2017 International Conference on Service Systems and Service Management","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
"yuan2018cryptographic","On Blockchain and Its Integration with IoT: Challenges and Opportunities","Reyna, Ana and Mart\'in, Cristian and Chen, Jaime and Soler, Enrique and D\'iaz, Manuel","2018","Future Generation Computer Systems","10.1016/j.future.2018.05.046","matched","hybrid","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","https://www.sciencedirect.com/science/article/pii/S0167739X17329205/pdf","OA location did not return a PDF"
"ferdous2020decentralized","A Framework for Blockchain-Based Smart Farming System Using IoT","Patil, Akshay S. and Tama, Bayu Adhi and Park, YoungHo and Rhee, Kyung-Hyune","2022","IEEE Access","10.1109/access.2022.3142563","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
